Age,Gender,Marital Status,Income,home_ownership,length_of_employment,purpose_of_loan,loan_grade,loan_amount,interest_rate,loan_status,loan_percent_income,History_of_Default,Length_of_Default_History,Debt-to-Income Ratio,Length_of_employment in years
23,0,1,21600,RENT,5,BUSINESS USE,A,7000,7,1,0.32,N,2,0.324074074,0.416666667
21,0,0,21600,RENT,6,EDUCATION,C,7000,14,1,0.32,Y,3,0.324074074,0.5
26,0,4,22480,RENT,0,HOME RENOVATIONS,A,7000,8,1,0.31,N,4,0.3113879,0
22,1,4,22500,RENT,2,DEBT CONSOLIDATION,B,7000,10,1,0.31,N,3,0.311111111,0.166666667
24,1,3,22680,RENT,9,DEBT CONSOLIDATION,B,7000,11,1,0.31,N,3,0.308641975,0.75
25,1,2,22776,RENT,4.778936496,HOME RENOVATIONS,B,7000,10,1,0.31,N,4,0.307341061,0.398244708
25,0,1,22880,RENT,2,BUSINESS USE,C,7000,11.04695559,1,0.31,N,3,0.305944056,0.166666667
23,1,2,50000,MORTGAGE,3,BUSINESS USE,C,7000,13,0,0.14,Y,2,0.14,0.25
26,0,2,22884,RENT,2,MEDICAL PURPOSES,A,7000,8,1,0.31,N,4,0.305890579,0.166666667
23,0,4,44000,MORTGAGE,0,MEDICAL PURPOSES,F,2000,19,1,0.05,Y,3,0.045454545,0
23,0,2,50000,MORTGAGE,5,PERSONAL USE,B,9000,11,0,0.18,N,2,0.18,0.416666667
26,1,2,50000,MORTGAGE,0,EDUCATION,A,10000,8,0,0.2,N,2,0.2,0
25,1,3,23000,RENT,0,DEBT CONSOLIDATION,D,7000,12,1,0.3,Y,4,0.304347826,0
22,0,3,50000,MORTGAGE,0,PERSONAL USE,B,2500,12,0,0.05,N,4,0.05,0
23,1,2,50000,MORTGAGE,1,PERSONAL USE,A,9000,11.04695559,0,0.18,N,2,0.18,0.083333333
25,0,4,23460,RENT,5,MEDICAL PURPOSES,B,7000,11.04695559,0,0.3,N,2,0.298380222,0.416666667
22,0,2,24000,RENT,6,BUSINESS USE,B,7000,12,0,0.29,N,2,0.291666667,0.5
26,0,0,24000,RENT,2,PERSONAL USE,C,7000,13,0,0.29,N,3,0.291666667,0.166666667
24,0,3,24000,RENT,0,PERSONAL USE,D,7000,16,1,0.29,N,2,0.291666667,0
22,1,3,50000,MORTGAGE,5,PERSONAL USE,B,2000,12,0,0.04,N,3,0.04,0.416666667
23,0,2,50000,OWN,3,BUSINESS USE,A,5000,9,0,0.1,N,3,0.1,0.25
22,0,4,50000,OWN,3,EDUCATION,A,6000,9,0,0.12,N,2,0.12,0.25
26,0,2,50000,MORTGAGE,5,EDUCATION,A,5000,7,0,0.1,N,2,0.1,0.416666667
24,1,3,44000,MORTGAGE,0,EDUCATION,D,15000,15,1,0.34,N,2,0.340909091,0
25,1,2,24000,RENT,0,BUSINESS USE,E,7000,16,1,0.29,Y,2,0.291666667,0
22,1,2,24996,RENT,6,DEBT CONSOLIDATION,B,7000,12,0,0.28,N,2,0.280044807,0.5
21,1,3,25000,RENT,1,EDUCATION,B,7000,13,0,0.28,N,2,0.28,0.083333333
22,1,2,50000,MORTGAGE,6,BUSINESS USE,C,10500,14,0,0.21,Y,2,0.21,0.5
22,0,1,63000,RENT,6,PERSONAL USE,B,6000,11,0,0.1,N,2,0.095238095,0.5
26,0,4,63000,RENT,3,HOME RENOVATIONS,C,6000,13,0,0.1,N,2,0.095238095,0.25
23,0,2,63402,RENT,3,DEBT CONSOLIDATION,C,6000,13,0,0.09,N,4,0.094634239,0.25
25,1,2,57500,RENT,4,BUSINESS USE,C,6000,11,1,0.1,N,2,0.104347826,0.333333333
24,0,1,58668,RENT,8,MEDICAL PURPOSES,D,6000,15,1,0.1,Y,4,0.102270403,0.666666667
23,0,4,65000,RENT,7,EDUCATION,C,6000,15,0,0.09,N,3,0.092307692,0.583333333
23,1,2,65000,RENT,2,EDUCATION,B,6000,12,0,0.09,N,2,0.092307692,0.166666667
26,0,1,65000,RENT,7,EDUCATION,D,6000,16,0,0.09,Y,2,0.092307692,0.583333333
25,1,0,59000,RENT,9,BUSINESS USE,C,6000,15,1,0.1,N,3,0.101694915,0.75
23,0,3,44000,MORTGAGE,8,PERSONAL USE,B,15000,12,1,0.34,N,3,0.340909091,0.666666667
24,0,1,50000,MORTGAGE,3,HOME RENOVATIONS,B,12000,11.04695559,0,0.24,N,3,0.24,0.25
22,1,3,50000,MORTGAGE,2,DEBT CONSOLIDATION,A,11000,9,0,0.22,N,4,0.22,0.166666667
25,0,1,65000,RENT,8,EDUCATION,C,6000,13,0,0.09,Y,3,0.092307692,0.666666667
24,1,4,65000,RENT,3,MEDICAL PURPOSES,A,6000,11.04695559,0,0.09,N,2,0.092307692,0.25
24,0,1,59000,RENT,2,DEBT CONSOLIDATION,D,6000,16,1,0.1,N,4,0.101694915,0.166666667
23,0,2,65000,RENT,0,EDUCATION,A,6000,10,0,0.09,N,3,0.092307692,0
25,0,1,65004,RENT,0,DEBT CONSOLIDATION,C,6000,13,0,0.09,N,4,0.092302012,0
21,1,2,65004,RENT,5,PERSONAL USE,A,6000,8,0,0.09,N,3,0.092302012,0.416666667
22,0,2,50000,MORTGAGE,0,EDUCATION,B,20000,11,0,0.4,N,2,0.4,0
22,1,3,65100,RENT,3,EDUCATION,E,6000,16,0,0.09,N,4,0.092165899,0.25
22,0,3,66000,RENT,4,EDUCATION,B,6000,10,0,0.09,N,4,0.090909091,0.333333333
25,1,0,44000,MORTGAGE,4,MEDICAL PURPOSES,D,5550,14,1,0.13,Y,4,0.126136364,0.333333333
26,0,0,66400,RENT,6,MEDICAL PURPOSES,A,6000,7,0,0.09,N,4,0.090361446,0.5
24,0,2,67644,RENT,3,DEBT CONSOLIDATION,A,6000,7,0,0.09,N,3,0.088699663,0.25
24,1,1,50000,MORTGAGE,8,EDUCATION,C,3000,13,0,0.06,N,2,0.06,0.666666667
26,0,2,62065,RENT,7,PERSONAL USE,B,6000,11,1,0.1,N,3,0.096672843,0.583333333
26,0,1,44000,MORTGAGE,8,MEDICAL PURPOSES,G,12000,19,1,0.27,Y,3,0.272727273,0.666666667
22,0,1,68250,RENT,4,EDUCATION,F,6000,19,0,0.09,Y,3,0.087912088,0.333333333
24,0,3,50000,MORTGAGE,2,BUSINESS USE,A,12500,9,0,0.25,N,2,0.25,0.166666667
25,0,2,68496,RENT,1,BUSINESS USE,A,6000,8,0,0.09,N,3,0.087596356,0.083333333
22,1,3,69000,RENT,2,BUSINESS USE,A,6000,7,0,0.09,N,4,0.086956522,0.166666667
22,0,1,44000,MORTGAGE,4,MEDICAL PURPOSES,D,16000,15,1,0.36,Y,3,0.363636364,0.333333333
23,1,1,69000,RENT,7,MEDICAL PURPOSES,A,6000,8,0,0.09,N,2,0.086956522,0.583333333
26,1,3,63400,RENT,2,PERSONAL USE,D,6000,15,1,0.09,Y,2,0.094637224,0.166666667
22,1,1,69500,RENT,6,DEBT CONSOLIDATION,B,6000,11,0,0.09,N,4,0.086330935,0.5
22,1,0,50000,MORTGAGE,1,PERSONAL USE,E,9800,16,0,0.2,Y,3,0.196,0.083333333
22,0,3,69528,RENT,6,PERSONAL USE,C,6000,13,0,0.09,Y,3,0.086296168,0.5
26,0,1,69780,RENT,3,PERSONAL USE,A,6000,9,0,0.09,N,3,0.085984523,0.25
24,0,1,69996,RENT,0,HOME RENOVATIONS,C,6000,13,0,0.09,N,2,0.085719184,0
26,0,1,70000,RENT,3,PERSONAL USE,A,6000,8,0,0.09,N,4,0.085714286,0.25
21,1,3,44000,MORTGAGE,2,DEBT CONSOLIDATION,E,15000,16,1,0.34,N,2,0.340909091,0.166666667
23,0,3,70000,RENT,4,EDUCATION,A,6000,7,0,0.09,N,2,0.085714286,0.333333333
23,1,3,50000,MORTGAGE,0,PERSONAL USE,A,6500,11.04695559,0,0.13,N,4,0.13,0
22,0,3,50000,MORTGAGE,7,EDUCATION,A,6400,8,0,0.13,N,2,0.128,0.583333333
26,0,2,50000,MORTGAGE,10,HOME RENOVATIONS,E,15000,16,0,0.3,N,3,0.3,0.833333333
25,0,3,70000,RENT,9,EDUCATION,B,6000,9,0,0.09,N,4,0.085714286,0.75
26,1,1,70000,RENT,4,MEDICAL PURPOSES,A,6000,6,0,0.09,N,4,0.085714286,0.333333333
24,0,3,50000,MORTGAGE,4,HOME RENOVATIONS,A,6000,10,0,0.12,N,3,0.12,0.333333333
24,0,2,50000,MORTGAGE,1,PERSONAL USE,C,11400,13,0,0.23,N,2,0.228,0.083333333
23,1,0,70000,RENT,4,EDUCATION,B,6000,11,0,0.09,N,4,0.085714286,0.333333333
22,0,2,70000,RENT,0,EDUCATION,B,6000,12,0,0.09,N,2,0.085714286,0
22,0,3,50000,MORTGAGE,7,EDUCATION,B,4000,11,0,0.08,N,4,0.08,0.583333333
23,1,0,50000,MORTGAGE,7,BUSINESS USE,B,8600,11,0,0.17,N,3,0.172,0.583333333
26,1,1,50000,OWN,4,HOME RENOVATIONS,C,10000,13,0,0.2,Y,2,0.2,0.333333333
23,0,3,50000,OWN,0,MEDICAL PURPOSES,A,10200,10,0,0.2,N,4,0.204,0
24,0,3,50000,MORTGAGE,7,BUSINESS USE,D,1000,14,0,0.02,N,3,0.02,0.583333333
22,0,4,71000,RENT,4,MEDICAL PURPOSES,B,6000,11.04695559,0,0.08,N,4,0.084507042,0.333333333
23,1,1,65074,RENT,0,EDUCATION,D,6000,14,1,0.09,Y,3,0.092202723,0
24,1,3,50000,OTHER,0,HOME RENOVATIONS,A,5000,8,0,0.1,N,3,0.1,0
25,1,3,50000,MORTGAGE,5,PERSONAL USE,D,7500,14,0,0.15,Y,4,0.15,0.416666667
24,1,0,44000,MORTGAGE,6,EDUCATION,F,7500,16,1,0.17,N,2,0.170454545,0.5
26,0,3,66000,RENT,10,BUSINESS USE,C,6000,13,1,0.09,Y,2,0.090909091,0.833333333
23,1,0,50000,OWN,0,BUSINESS USE,B,14000,10,0,0.28,N,2,0.28,0
21,1,1,72000,RENT,3,EDUCATION,A,6000,5,0,0.08,N,4,0.083333333,0.25
24,1,2,72000,RENT,3,EDUCATION,A,6000,8,0,0.08,N,3,0.083333333,0.25
25,0,2,44000,MORTGAGE,7,PERSONAL USE,B,7500,10,1,0.17,N,2,0.170454545,0.583333333
21,1,2,44000,MORTGAGE,5,BUSINESS USE,D,7500,13,1,0.17,N,4,0.170454545,0.416666667
25,1,2,72000,RENT,1,BUSINESS USE,B,6000,12,0,0.08,N,3,0.083333333,0.083333333
22,1,2,50000,OWN,4,BUSINESS USE,B,16000,9,0,0.32,N,4,0.32,0.333333333
23,1,1,73000,RENT,4,MEDICAL PURPOSES,B,6000,13,0,0.08,N,4,0.082191781,0.333333333
26,0,1,50000,MORTGAGE,10,MEDICAL PURPOSES,C,13000,12,0,0.26,Y,3,0.26,0.833333333
23,1,1,73500,RENT,7,PERSONAL USE,D,6000,15,0,0.08,Y,4,0.081632653,0.583333333
22,1,3,50000,OWN,6,MEDICAL PURPOSES,A,15000,9,0,0.3,N,2,0.3,0.5
23,1,1,57800,RENT,2,MEDICAL PURPOSES,B,6000,11,1,0.09,N,4,0.103806228,0.166666667
24,0,3,50000,MORTGAGE,7,PERSONAL USE,D,9000,11.04695559,0,0.18,Y,3,0.18,0.583333333
21,1,3,44000,MORTGAGE,5,MEDICAL PURPOSES,D,6000,13,1,0.14,N,3,0.136363636,0.416666667
25,0,2,50000,MORTGAGE,9,EDUCATION,A,6400,8,0,0.13,N,3,0.128,0.75
26,0,2,50000,MORTGAGE,2,PERSONAL USE,D,20000,13,0,0.4,N,3,0.4,0.166666667
23,0,2,74000,RENT,7,EDUCATION,A,6000,6,0,0.08,N,3,0.081081081,0.583333333
25,0,3,74500,RENT,3,MEDICAL PURPOSES,B,6000,10,0,0.08,N,4,0.080536913,0.25
26,0,3,74970,RENT,5,MEDICAL PURPOSES,A,6000,8,0,0.08,N,2,0.080032013,0.416666667
23,1,3,75000,RENT,1,BUSINESS USE,B,6000,12,0,0.08,N,3,0.08,0.083333333
24,0,4,50000,MORTGAGE,0,HOME RENOVATIONS,B,5500,11.04695559,0,0.11,N,3,0.11,0
22,1,4,50004,MORTGAGE,4.778936496,PERSONAL USE,B,4950,11.04695559,0,0.1,N,2,0.098992081,0.398244708
23,0,3,75000,RENT,1,PERSONAL USE,A,6000,6,0,0.08,N,4,0.08,0.083333333
23,1,1,75000,RENT,1,BUSINESS USE,A,6000,7,0,0.08,N,4,0.08,0.083333333
23,1,1,50004,MORTGAGE,7,EDUCATION,A,2700,6,0,0.05,N,2,0.05399568,0.583333333
23,0,3,69000,RENT,7,DEBT CONSOLIDATION,D,6000,16,1,0.09,Y,2,0.086956522,0.583333333
22,1,2,50004,MORTGAGE,4,DEBT CONSOLIDATION,A,6250,11.04695559,0,0.12,N,4,0.124990001,0.333333333
25,0,3,50004,OWN,1,BUSINESS USE,A,10000,7,0,0.2,N,3,0.199984001,0.083333333
23,1,2,75000,RENT,4,PERSONAL USE,C,6000,14,0,0.08,Y,2,0.08,0.333333333
23,0,4,75000,RENT,0,MEDICAL PURPOSES,B,6000,11,0,0.08,N,2,0.08,0
24,1,3,50004,OWN,2,MEDICAL PURPOSES,B,10000,11,0,0.2,N,2,0.199984001,0.166666667
22,1,2,50004,MORTGAGE,5,EDUCATION,D,14000,16,0,0.28,N,4,0.279977602,0.416666667
23,1,4,78000,RENT,0,MEDICAL PURPOSES,B,6000,10,0,0.08,N,2,0.076923077,0
22,0,4,50004,MORTGAGE,6,BUSINESS USE,D,7200,11.04695559,0,0.14,Y,2,0.143988481,0.5
25,1,2,78000,RENT,1,PERSONAL USE,A,6000,10,0,0.08,N,4,0.076923077,0.083333333
23,1,2,50004,MORTGAGE,7,PERSONAL USE,B,16000,12,0,0.32,N,2,0.319974402,0.583333333
22,0,1,44004,MORTGAGE,3,BUSINESS USE,D,9000,14,1,0.2,Y,3,0.204526861,0.25
22,0,1,44004,MORTGAGE,0,DEBT CONSOLIDATION,E,11000,16,1,0.25,N,4,0.249977275,0
25,0,1,73000,RENT,2,DEBT CONSOLIDATION,D,6000,15,1,0.08,N,4,0.082191781,0.166666667
22,1,2,75000,RENT,6,EDUCATION,B,6000,11.04695559,1,0.08,N,2,0.08,0.5
26,0,1,78000,RENT,5,PERSONAL USE,C,6000,13,1,0.08,N,2,0.076923077,0.416666667
25,0,1,44400,MORTGAGE,9,BUSINESS USE,C,6000,13,1,0.14,N,4,0.135135135,0.75
24,1,3,79650,RENT,4,PERSONAL USE,E,6000,16,1,0.08,Y,3,0.075329567,0.333333333
26,0,4,81000,RENT,10,PERSONAL USE,A,6000,8,1,0.07,N,2,0.074074074,0.833333333
26,0,1,92000,RENT,0,BUSINESS USE,D,6000,16,1,0.07,N,3,0.065217391,0
22,0,4,93000,RENT,6,HOME RENOVATIONS,A,6000,9,1,0.06,N,4,0.064516129,0.5
23,0,1,95000,RENT,7,DEBT CONSOLIDATION,D,6000,16,1,0.06,N,4,0.063157895,0.583333333
25,1,3,19200,RENT,3,DEBT CONSOLIDATION,B,6150,11,1,0.32,N,3,0.3203125,0.25
24,1,1,45000,MORTGAGE,0,BUSINESS USE,C,10625,14,1,0.24,Y,2,0.236111111,0
23,0,3,19200,RENT,1,MEDICAL PURPOSES,G,6200,20,1,0.32,N,3,0.322916667,0.083333333
26,1,1,20000,RENT,9,EDUCATION,A,6200,6,1,0.31,N,4,0.31,0.75
24,0,4,26000,RENT,2,HOME RENOVATIONS,D,6200,14,1,0.24,N,4,0.238461538,0.166666667
22,1,1,46000,RENT,1,DEBT CONSOLIDATION,D,6200,11.04695559,1,0.13,N,4,0.134782609,0.083333333
23,1,4,45000,MORTGAGE,6,MEDICAL PURPOSES,B,5000,11,1,0.11,N,2,0.111111111,0.5
23,0,3,14898,RENT,4.778936496,BUSINESS USE,C,6250,15,1,0.42,N,2,0.419519399,0.398244708
22,1,1,16000,RENT,4.778936496,BUSINESS USE,B,6250,10,1,0.39,N,2,0.390625,0.398244708
22,1,3,19200,RENT,2,DEBT CONSOLIDATION,A,6250,8,1,0.33,N,3,0.325520833,0.166666667
25,1,3,19200,RENT,4,EDUCATION,D,6250,15,1,0.33,Y,2,0.325520833,0.333333333
23,0,3,19250,RENT,1,HOME RENOVATIONS,E,6250,17,1,0.32,Y,4,0.324675325,0.083333333
22,0,0,20000,RENT,3,EDUCATION,D,6250,11.04695559,1,0.31,Y,3,0.3125,0.25
22,1,4,27000,RENT,3,MEDICAL PURPOSES,D,6250,16,1,0.23,Y,4,0.231481481,0.25
21,0,4,45000,MORTGAGE,3,DEBT CONSOLIDATION,D,8000,15,1,0.18,Y,3,0.177777778,0.25
25,1,2,50000,RENT,2,MEDICAL PURPOSES,E,7000,16,1,0.14,N,3,0.14,0.166666667
23,1,2,52000,RENT,3,MEDICAL PURPOSES,C,7000,14,1,0.13,N,4,0.134615385,0.25
25,0,2,54000,RENT,1,DEBT CONSOLIDATION,F,7000,21,1,0.13,N,3,0.12962963,0.083333333
24,0,2,54000,RENT,0,DEBT CONSOLIDATION,D,7000,16,1,0.13,Y,3,0.12962963,0
22,1,3,54000,RENT,6,MEDICAL PURPOSES,D,7000,15,1,0.13,Y,4,0.12962963,0.5
22,1,2,54000,RENT,2,PERSONAL USE,D,7000,15,1,0.13,N,3,0.12962963,0.166666667
23,1,1,45480,MORTGAGE,7,DEBT CONSOLIDATION,C,4400,13,1,0.1,N,3,0.096745822,0.583333333
22,0,1,60500,RENT,3,DEBT CONSOLIDATION,C,7000,13,0,0.12,N,2,0.115702479,0.25
26,1,1,51500,OWN,10,HOME RENOVATIONS,A,15000,7,0,0.29,N,2,0.291262136,0.833333333
24,1,3,51500,MORTGAGE,2,BUSINESS USE,A,6300,6,0,0.12,N,3,0.122330097,0.166666667
23,0,2,62000,RENT,5,PERSONAL USE,B,7000,10,0,0.11,N,4,0.112903226,0.416666667
26,0,1,51500,MORTGAGE,7,BUSINESS USE,B,11000,11.04695559,0,0.21,N,3,0.213592233,0.583333333
26,0,3,51500,MORTGAGE,3,HOME RENOVATIONS,D,9600,15,0,0.19,Y,4,0.186407767,0.25
24,1,2,51500,MORTGAGE,6,MEDICAL PURPOSES,A,4000,8,0,0.08,N,2,0.077669903,0.5
22,1,1,51500,MORTGAGE,6,EDUCATION,B,7500,10,0,0.15,N,3,0.145631068,0.5
25,1,0,62000,RENT,9,DEBT CONSOLIDATION,A,7000,7,0,0.11,N,4,0.112903226,0.75
23,1,4,62100,RENT,3,MEDICAL PURPOSES,B,7000,11.04695559,0,0.11,N,2,0.112721417,0.25
23,0,3,51600,MORTGAGE,4,EDUCATION,B,7200,11,0,0.14,N,3,0.139534884,0.333333333
26,1,1,63000,RENT,4,BUSINESS USE,D,7000,15,0,0.11,N,2,0.111111111,0.333333333
22,0,1,64000,RENT,6,EDUCATION,A,7000,6,0,0.11,N,3,0.109375,0.5
22,1,3,51600,MORTGAGE,6,EDUCATION,B,4200,11,0,0.08,N,3,0.081395349,0.5
23,1,4,51600,MORTGAGE,1,DEBT CONSOLIDATION,B,5000,11,0,0.1,N,3,0.096899225,0.083333333
23,1,2,64600,RENT,7,MEDICAL PURPOSES,B,7000,12,0,0.11,N,3,0.108359133,0.583333333
25,1,1,64800,RENT,1,PERSONAL USE,C,7000,13,0,0.11,N,2,0.108024691,0.083333333
22,0,0,65000,RENT,4,EDUCATION,C,7000,14,0,0.11,Y,4,0.107692308,0.333333333
22,1,1,51600,MORTGAGE,2,BUSINESS USE,C,7000,13,0,0.14,Y,2,0.135658915,0.166666667
22,1,2,65000,RENT,7,EDUCATION,D,7000,16,0,0.11,N,3,0.107692308,0.583333333
25,1,3,51600,OWN,2,BUSINESS USE,D,6000,11.04695559,0,0.12,N,4,0.11627907,0.166666667
22,0,2,65000,RENT,0,DEBT CONSOLIDATION,C,7000,13,0,0.11,N,2,0.107692308,0
26,1,1,51600,OWN,10,HOME RENOVATIONS,B,15000,10,0,0.29,N,3,0.290697674,0.833333333
24,0,2,51600,OWN,8,BUSINESS USE,C,20000,13,0,0.39,N,4,0.387596899,0.666666667
26,0,4,65000,RENT,3,EDUCATION,A,7000,11.04695559,0,0.11,N,2,0.107692308,0.25
23,1,2,65000,RENT,7,EDUCATION,B,7000,11,0,0.11,N,4,0.107692308,0.583333333
25,0,0,51669,MORTGAGE,2,HOME RENOVATIONS,B,12000,10,0,0.23,N,4,0.232247576,0.166666667
25,1,3,51684,MORTGAGE,9,PERSONAL USE,D,4000,16,0,0.08,N,4,0.077393391,0.75
26,1,4,51700,OWN,2,HOME RENOVATIONS,A,13200,8,0,0.26,N,4,0.255319149,0.166666667
22,0,4,51800,MORTGAGE,4,EDUCATION,B,7200,12,0,0.14,N,3,0.138996139,0.333333333
21,1,2,51800,MORTGAGE,1,BUSINESS USE,B,5000,10,0,0.1,N,3,0.096525097,0.083333333
24,1,4,65000,RENT,0,DEBT CONSOLIDATION,B,7000,12,0,0.11,N,2,0.107692308,0
23,1,0,51852,MORTGAGE,0,MEDICAL PURPOSES,A,10000,9,0,0.19,N,2,0.192856592,0
23,1,4,65000,RENT,0,BUSINESS USE,B,7000,11,0,0.11,N,2,0.107692308,0
21,0,1,65000,RENT,0,BUSINESS USE,A,7000,11.04695559,0,0.11,N,4,0.107692308,0
22,0,2,51900,MORTGAGE,5,BUSINESS USE,B,14100,11,0,0.27,N,2,0.271676301,0.416666667
23,1,1,66000,RENT,2,EDUCATION,A,7000,8,0,0.11,N,3,0.106060606,0.166666667
24,1,3,51992,MORTGAGE,9,PERSONAL USE,C,15000,14,0,0.29,N,3,0.288505924,0.75
22,0,1,66000,RENT,0,EDUCATION,B,7000,10,0,0.11,N,4,0.106060606,0
24,1,1,51996,MORTGAGE,3,PERSONAL USE,A,7000,7,0,0.13,N,3,0.13462574,0.25
24,1,0,66000,RENT,2,BUSINESS USE,B,7000,11,0,0.11,N,3,0.106060606,0.166666667
24,1,2,60000,RENT,8,EDUCATION,A,7000,8,1,0.12,N,4,0.116666667,0.666666667
21,0,3,51996,MORTGAGE,1,EDUCATION,A,18000,8,0,0.35,N,2,0.346180475,0.083333333
26,0,1,51996,MORTGAGE,8,DEBT CONSOLIDATION,A,18000,8,0,0.35,N,3,0.346180475,0.666666667
23,1,1,51996,MORTGAGE,3,PERSONAL USE,A,5000,7,0,0.1,N,3,0.096161243,0.25
24,1,0,51996,MORTGAGE,0,PERSONAL USE,B,12000,11,0,0.23,N,3,0.230786984,0
25,1,3,67000,RENT,3,EDUCATION,A,7000,9,0,0.1,N,4,0.104477612,0.25
25,0,0,45996,MORTGAGE,9,HOME RENOVATIONS,C,11000,13,1,0.24,N,2,0.239151231,0.75
26,1,3,67550,RENT,3,MEDICAL PURPOSES,A,7000,9,0,0.1,N,2,0.103626943,0.25
23,0,2,67752,RENT,3,EDUCATION,A,7000,7,0,0.1,N,4,0.103317983,0.25
22,1,2,51996,OWN,6,BUSINESS USE,C,8400,13,0,0.16,Y,4,0.161550889,0.5
23,0,2,68700,RENT,2,BUSINESS USE,C,7000,13,0,0.1,N,4,0.101892285,0.166666667
25,0,2,69500,RENT,7,MEDICAL PURPOSES,C,7000,11,0,0.1,Y,3,0.100719424,0.583333333
22,1,2,54400,RENT,2,MEDICAL PURPOSES,E,7000,11.04695559,1,0.11,Y,2,0.128676471,0.166666667
25,1,4,51996,MORTGAGE,6,BUSINESS USE,C,7000,11.04695559,0,0.13,N,3,0.13462574,0.5
25,1,2,70000,RENT,2,MEDICAL PURPOSES,C,7000,14,0,0.1,Y,3,0.1,0.166666667
22,1,1,51996,MORTGAGE,6,PERSONAL USE,A,6000,8,0,0.12,N,4,0.115393492,0.5
25,1,4,70356,RENT,8,HOME RENOVATIONS,A,7000,7,0,0.1,N,4,0.099494002,0.666666667
22,0,1,51996,OWN,7,BUSINESS USE,B,6000,11,0,0.12,N,2,0.115393492,0.583333333
22,1,2,51996,MORTGAGE,6,EDUCATION,A,9600,7,0,0.18,N,4,0.184629587,0.5
23,0,3,72000,RENT,0,MEDICAL PURPOSES,A,7000,8,0,0.1,N,2,0.097222222,0
23,0,1,72000,RENT,7,EDUCATION,C,7000,13,0,0.1,Y,4,0.097222222,0.583333333
26,1,2,72000,RENT,8,PERSONAL USE,A,7000,9,0,0.1,N,2,0.097222222,0.666666667
23,0,4,66348,RENT,0,BUSINESS USE,E,7000,17,1,0.11,N,4,0.105504311,0
21,0,2,45996,MORTGAGE,2,EDUCATION,C,17000,13,1,0.37,Y,4,0.369597356,0.166666667
25,1,1,72700,RENT,4,HOME RENOVATIONS,D,7000,15,0,0.1,Y,2,0.096286107,0.333333333
26,1,2,51996,MORTGAGE,10,PERSONAL USE,B,1500,10,0,0.03,N,3,0.028848373,0.833333333
23,1,1,75000,RENT,2,PERSONAL USE,B,7000,6,0,0.09,N,3,0.093333333,0.166666667
26,1,2,75000,RENT,0,DEBT CONSOLIDATION,A,7000,9,0,0.09,N,4,0.093333333,0
25,0,4,75000,RENT,4,MEDICAL PURPOSES,A,7000,7,0,0.09,N,2,0.093333333,0.333333333
24,0,2,75000,RENT,2,HOME RENOVATIONS,B,7000,11,0,0.09,N,3,0.093333333,0.166666667
23,1,4,46000,MORTGAGE,5,PERSONAL USE,B,9500,13,1,0.21,N,4,0.206521739,0.416666667
22,0,2,75000,RENT,5,EDUCATION,B,7000,11,0,0.09,N,2,0.093333333,0.416666667
22,1,3,52000,MORTGAGE,6,BUSINESS USE,A,12000,7,0,0.23,N,3,0.230769231,0.5
23,1,3,75800,RENT,0,PERSONAL USE,A,7000,7,0,0.09,N,2,0.092348285,0
22,0,3,76000,RENT,6,EDUCATION,B,7000,11,0,0.09,N,2,0.092105263,0.5
22,0,4,52000,MORTGAGE,5,EDUCATION,A,6000,8,0,0.12,N,4,0.115384615,0.416666667
24,1,0,78300,RENT,2,BUSINESS USE,A,7000,6,0,0.09,N,3,0.089399745,0.166666667
24,0,2,52000,MORTGAGE,2,EDUCATION,B,18000,12,0,0.35,N,3,0.346153846,0.166666667
24,0,1,79000,RENT,3,PERSONAL USE,C,7000,13,0,0.09,N,3,0.088607595,0.25
22,1,0,80000,RENT,4,DEBT CONSOLIDATION,A,7000,7,0,0.09,N,3,0.0875,0.333333333
23,0,4,74000,RENT,7,HOME RENOVATIONS,A,7000,6,1,0.09,N,3,0.094594595,0.583333333
22,1,4,80000,RENT,4,PERSONAL USE,A,7000,8,0,0.09,N,2,0.0875,0.333333333
23,1,1,80000,RENT,1,BUSINESS USE,A,7000,7,0,0.09,N,2,0.0875,0.083333333
26,0,3,80400,RENT,6,BUSINESS USE,B,7000,11,0,0.09,N,2,0.087064677,0.5
23,1,1,52000,MORTGAGE,5,EDUCATION,B,12800,11,0,0.25,N,2,0.246153846,0.416666667
23,1,2,52000,OWN,7,EDUCATION,A,6000,11.04695559,0,0.12,N,3,0.115384615,0.583333333
24,1,3,82000,RENT,8,EDUCATION,B,7000,10,0,0.09,N,4,0.085365854,0.666666667
25,0,1,52000,MORTGAGE,8,HOME RENOVATIONS,B,14500,11,0,0.28,N,4,0.278846154,0.666666667
23,1,3,76000,RENT,0,PERSONAL USE,D,7000,15,1,0.09,N,4,0.092105263,0
23,0,4,52000,MORTGAGE,7,EDUCATION,A,22000,8,0,0.42,N,2,0.423076923,0.583333333
26,0,4,83000,RENT,6,MEDICAL PURPOSES,C,7000,13,0,0.08,Y,3,0.084337349,0.5
23,0,2,52000,MORTGAGE,7,EDUCATION,A,8400,9,0,0.16,N,2,0.161538462,0.583333333
21,0,1,52000,OWN,1,EDUCATION,B,13200,12,0,0.25,N,2,0.253846154,0.083333333
26,0,3,52000,MORTGAGE,2,EDUCATION,A,6000,9,0,0.12,N,4,0.115384615,0.166666667
